uid,昵称,性别,点赞,个人签名,等级,评论内容
526511520,无法长大Cr,男,0,无欲无求 笑口常开,5,已经三命了[哈娜hanna_害怕]
475742761,最i吃土豆,男,0,,5,可不可以给无配音的任务加上ai配音啊。。要不然真的没耐心做下去啊。
351610092,张音律,男,1,"主Phigros、DL、RS、原神等
个人QQ：983617828
其他平台同名，但是视频仅在B站发布",5,你最好后续活动送一只，大保底碰都不敢碰[原神_哭哭]
340456052,小玖夜夕,保密,1,摸鱼~,5,将碎冰反应作为一些属性提升的前置条件是不错的思路[支持]
483066430,嗯我我我我我我,男,0,,5,你怎么知道我一个十连就出了菲米尼
180378731,elfork,保密,7,,6,早退早止损，黑丝男孩爱你额
180378731,elfork,保密,3,,6,早退早止损，黑丝男孩爱你额#(吐舌)
1846334629,六月edd,保密,2,,3,中午好[墨镜][墨镜][墨镜]
36249211,一只睡不醒的树,保密,0,。。。。,6,很棒哦(*°▽°*)八(*°▽°*)♪我抽到啦
43565637,必须点的09号,男,1,,6,今天天气不错[墨镜]
629601486,brave-heart3,保密,0,,5,攒两百抽等一斗
294472035,原神代肝水曲柳,保密,0,"v:sqlysdl(是两个小写的L)
全程有直播，录播需要上传的话会留两个月",5,充10个都没礼物，论逆抠门还得是你
3494373866080347,威猛小号,保密,0,,2,漂亮的小脸蛋
372610953,ta与原石皆失,男,0,咱能不能凡事过点脑子，打字时候想想自己说的啥，没有脑子当我没说,5,555，哔服咋进不去，渠道错误是啥
302271417,-浮光微尘-,男,3,,5,能不能加一个菲米尼下水后自动带上大招的头盔的细节，毕竟是潜水员专业一点[思考]
342536998,吃个李离,男,2,,5,"下个版本福利:
100%会有的128音乐会大礼包
和99%会有的签到十连
和90%会有的邮箱10连
�和80%会有的小纪念品
�以及10%会有的小月卡
和90%会有的10万摩拉
�米扣游还有什么福利吗？"
2676002,RoyalOMG,保密,0,,6,原宝，咱们深渊什么时候开5队
3461572240345248,Forever_ftx,保密,0,这个人很神秘，但如果你把句子读完，就会发现这个人实际更改了签名,3,策划竟然觉得我会为这玩意儿进池子？
418451399,木木不大,保密,0,"什么学乏世夕之
如果还有人没有闹够的话，我来奉陪（拔刀）",5,原神要是出了枪械角色，我在入坑
220831524,她梦她梦她,保密,5,寒山问拾得曰：世间有人谤我、欺我、辱我、笑我、轻我、贱我、恶我、骗我、如何处治乎？,6,播放量说明一切
354402751,不爱吃流心蛋,保密,3,一给我里giao！,5,老米，我想抽雷电将军和申鹤那样的新角色[灵魂出窍][灵魂出窍][灵魂出窍][灵魂出窍]
648343622,无赖的馄饨,保密,0,无念无想，泡影断灭。,5,米哈游。六十四抽了。你起码给我一个菲米尼吧！
